run,hmdb51_acc,hmdb51_epoch,ucf101_acc,ucf101_epoch,exp,model,model_bn_in,model_bn_out,hmdb51,hmdb51_split,ucf101,ucf101_split,train_strategy,train_epochs,train_tbatch,train_ebatch,opt,opt_lr,opt_momentum,opt_nesterov,opt_alphas,model_rec_type,model_rec_size,model_conv2d_filters,model_conv1d_filters,model_dropout
191117T184337-FCMean-shortest,32.3878616094589,458,63.9439582824707,458,mmean,FCMean,0,0,True,1,True,1,shortest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T185443-FCMean-longest,32.3878616094589,458,65.2920961380005,499,mmean,FCMean,0,0,True,1,True,1,longest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T191514-FCMean-refill,32.3878616094589,148,65.3449654579163,497,mmean,FCMean,0,0,True,1,True,1,refill,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T194231-FCMean-interleave,32.3878616094589,458,65.2920961380005,499,mmean,FCMean,0,0,True,1,True,1,interleave,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T200329-FCMean-shortest,34.6306055784225,485,64.7634148597717,495,mmean,FCMean,1,0,True,1,True,1,shortest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T201514-FCMean-longest,34.168866276741,423,66.00581407547,423,mmean,FCMean,1,0,True,1,True,1,longest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T203621-FCMean-refill,34.4986796379089,178,65.8207774162293,454,mmean,FCMean,1,0,True,1,True,1,refill,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T210429-FCMean-interleave,34.168866276741,417,66.00581407547,419,mmean,FCMean,1,0,True,1,True,1,interleave,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T212604-MeanFC-shortest,31.33245408535,410,62.7015590667725,460,mmean,MeanFC,0,0,True,1,True,1,shortest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T213743-MeanFC-longest,31.33245408535,410,63.3359789848328,473,mmean,MeanFC,0,0,True,1,True,1,longest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T215837-MeanFC-refill,31.33245408535,152,63.3095443248749,478,mmean,MeanFC,0,0,True,1,True,1,refill,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T222556-MeanFC-interleave,31.33245408535,410,63.3359789848328,473,mmean,MeanFC,0,0,True,1,True,1,interleave,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T224700-MeanFC-shortest,32.8496038913727,216,62.7808630466461,432,mmean,MeanFC,1,0,True,1,True,1,shortest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T225845-MeanFC-longest,32.783642411232,206,63.9175236225128,472,mmean,MeanFC,1,0,True,1,True,1,longest,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T231947-MeanFC-refill,33.0474942922592,86,63.6531829833984,496,mmean,MeanFC,1,0,True,1,True,1,refill,500,128,64,sgd,0.01,0,False,"[1, 1]",,,,,
191117T234647-MeanFC-interleave,32.9155683517456,226,63.8646602630615,472,mmean,MeanFC,1,0,True,1,True,1,interleave,500,128,64,sgd,0.01,0,False,"[1, 1]",gru,128,160,160,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
# Observations,,,,,,,,,,,,,,,,,,,,,,,,,,
# Slight improvements over single-task HMDB51 ~3.8% UCF101 ~0.8%.,,,,,,,,,,,,,,,,,,,,,,,,,,
# Batchnorm improves HMDB51 ~2.5% UCF101 ~0.5%.,,,,,,,,,,,,,,,,,,,,,,,,,,
